time,"P(B1|X3)","P(B1|X6)","P(B2|X6)"
1.980000e-11,2.657726e-01,1.060197e-03,1.080854e-03
2.000000e-11,2.686725e-01,1.065744e-03,1.086498e-03
2.020000e-11,2.715753e-01,1.071211e-03,1.092085e-03
2.040000e-11,2.744811e-01,1.076598e-03,1.097612e-03
2.060000e-11,2.773897e-01,1.081907e-03,1.103075e-03
2.080000e-11,2.803013e-01,1.087142e-03,1.108465e-03
2.100000e-11,2.832158e-01,1.092305e-03,1.113776e-03
2.120000e-11,2.861333e-01,1.097400e-03,1.119003e-03
2.140000e-11,2.890537e-01,1.102431e-03,1.124145e-03
2.160000e-11,2.919772e-01,1.107402e-03,1.129203e-03
2.180000e-11,2.949037e-01,1.112315e-03,1.134181e-03
2.200000e-11,2.978333e-01,1.117171e-03,1.139087e-03
2.220000e-11,3.007660e-01,1.121970e-03,1.143928e-03
2.240000e-11,3.037019e-01,1.126712e-03,1.148713e-03
2.260000e-11,3.066408e-01,1.131395e-03,1.153450e-03
2.280000e-11,3.095830e-01,1.136019e-03,1.158142e-03
2.300000e-11,3.125283e-01,1.140583e-03,1.162793e-03
2.320000e-11,3.154768e-01,1.145086e-03,1.167402e-03
2.340000e-11,3.184285e-01,1.149530e-03,1.171964e-03
2.360000e-11,3.213834e-01,1.153916e-03,1.176476e-03
2.380000e-11,3.243416e-01,1.158247e-03,1.180932e-03
2.400000e-11,3.273031e-01,1.162525e-03,1.185328e-03
2.420000e-11,3.302678e-01,1.166755e-03,1.189660e-03
2.440000e-11,3.332360e-01,1.170939e-03,1.193929e-03
2.460000e-11,3.362074e-01,1.175079e-03,1.198135e-03
2.480000e-11,3.391823e-01,1.179177e-03,1.202285e-03
2.500000e-11,3.421606e-01,1.183233e-03,1.206382e-03
2.520000e-11,3.451424e-01,1.187247e-03,1.210435e-03
2.540000e-11,3.481277e-01,1.191219e-03,1.214449e-03
2.560000e-11,3.511164e-01,1.195148e-03,1.218429e-03
2.580000e-11,3.541087e-01,1.199032e-03,1.222378e-03
2.600000e-11,3.571046e-01,1.202872e-03,1.226297e-03
2.620000e-11,3.601041e-01,1.206667e-03,1.230185e-03
2.640000e-11,3.631071e-01,1.210420e-03,1.234039e-03
2.660000e-11,3.661138e-01,1.214131e-03,1.237855e-03
2.680000e-11,3.691242e-01,1.217803e-03,1.241628e-03
2.700000e-11,3.721383e-01,1.221438e-03,1.245357e-03
2.720000e-11,3.751561e-01,1.225039e-03,1.249038e-03
2.740000e-11,3.781777e-01,1.228607e-03,1.252674e-03
2.760000e-11,3.812031e-01,1.232145e-03,1.256266e-03
2.780000e-11,3.842323e-01,1.235654e-03,1.259817e-03
2.800000e-11,3.872654e-01,1.239133e-03,1.263334e-03
2.820000e-11,3.903024e-01,1.242582e-03,1.266820e-03
2.840000e-11,3.933433e-01,1.246001e-03,1.270281e-03
2.860000e-11,3.963883e-01,1.249389e-03,1.273720e-03
2.880000e-11,3.994372e-01,1.252746e-03,1.277138e-03
2.900000e-11,4.024902e-01,1.256071e-03,1.280536e-03
2.920000e-11,4.055472e-01,1.259365e-03,1.283912e-03
2.940000e-11,4.086084e-01,1.262629e-03,1.287263e-03
2.960000e-11,4.116737e-01,1.265865e-03,1.290587e-03
2.980000e-11,4.147431e-01,1.269074e-03,1.293881e-03
3.000000e-11,4.178168e-01,1.272259e-03,1.297142e-03
3.020000e-11,4.208948e-01,1.275422e-03,1.300371e-03
3.040000e-11,4.239770e-01,1.278563e-03,1.303567e-03
3.060000e-11,4.270636e-01,1.281685e-03,1.306735e-03
3.080000e-11,4.301545e-01,1.284787e-03,1.309876e-03
3.100000e-11,4.332499e-01,1.287870e-03,1.312995e-03
3.120000e-11,4.363498e-01,1.290933e-03,1.316096e-03
3.140000e-11,4.394541e-01,1.293975e-03,1.319181e-03
3.160000e-11,4.425630e-01,1.296998e-03,1.322254e-03
3.180000e-11,4.456765e-01,1.299999e-03,1.325314e-03
3.200000e-11,4.487946e-01,1.302979e-03,1.328362e-03
