time,"P(B0|X4)","P(B1|X3)","P(B1|X4)","P(B2|X4)","P(B0|X6)","P(B1|X6)","P(B2|X6)"
2.400000e-11,3.284441e-04,3.273031e-01,1.330175e-02,1.356226e-02,2.878984e-05,1.162525e-03,1.185328e-03
2.450000e-11,3.298746e-04,3.347213e-01,1.341538e-02,1.367668e-02,2.903988e-05,1.173014e-03,1.196040e-03
2.500000e-11,3.324623e-04,3.421606e-01,1.352548e-02,1.378853e-02,2.919912e-05,1.183233e-03,1.206382e-03
2.550000e-11,3.361383e-04,3.496216e-01,1.363194e-02,1.389794e-02,2.936028e-05,1.193189e-03,1.216443e-03
2.600000e-11,3.396843e-04,3.571046e-01,1.373543e-02,1.400457e-02,2.959977e-05,1.202872e-03,1.226297e-03
2.650000e-11,3.420606e-04,3.646100e-01,1.383683e-02,1.410812e-02,2.990274e-05,1.212280e-03,1.235952e-03
2.700000e-11,3.434334e-04,3.721383e-01,1.393646e-02,1.420880e-02,3.018596e-05,1.221438e-03,1.245357e-03
2.750000e-11,3.449019e-04,3.796899e-01,1.403399e-02,1.430722e-02,3.038752e-05,1.230380e-03,1.254475e-03
2.800000e-11,3.473165e-04,3.872654e-01,1.412896e-02,1.440390e-02,3.052752e-05,1.239133e-03,1.263334e-03
2.850000e-11,3.504538e-04,3.948653e-01,1.422137e-02,1.449887e-02,3.068130e-05,1.247699e-03,1.272003e-03
2.900000e-11,3.533422e-04,4.024902e-01,1.431182e-02,1.459187e-02,3.089942e-05,1.256071e-03,1.280536e-03
2.950000e-11,3.553050e-04,4.101405e-01,1.440094e-02,1.468272e-02,3.115929e-05,1.264250e-03,1.288929e-03
3.000000e-11,3.566137e-04,4.178168e-01,1.448890e-02,1.477165e-02,3.139428e-05,1.272259e-03,1.297142e-03
3.050000e-11,3.581324e-04,4.255198e-01,1.457542e-02,1.485915e-02,3.156462e-05,1.280126e-03,1.305155e-03
3.100000e-11,3.604021e-04,4.332499e-01,1.466018e-02,1.494559e-02,3.169535e-05,1.287870e-03,1.312995e-03
3.150000e-11,3.631313e-04,4.410080e-01,1.474328e-02,1.503094e-02,3.184594e-05,1.295489e-03,1.320719e-03
3.200000e-11,3.655670e-04,4.487946e-01,1.482520e-02,1.511499e-02,3.204794e-05,1.302979e-03,1.328362e-03
