time,"P(B5|X9)","P(B1|X9)","P(B3|X9)","P(B2|X11)","P(B1|X12)"
1.280000e-11,3.745660e-01,-6.350943e-02,2.781642e-01,4.247213e-01,4.130102e-01
1.300000e-11,3.811669e-01,-6.465059e-02,2.828560e-01,4.324495e-01,4.206013e-01
1.320000e-11,3.878325e-01,-6.580959e-02,2.876019e-01,4.402311e-01,4.282324e-01
1.340000e-11,3.945578e-01,-6.698531e-02,2.923985e-01,4.480601e-01,4.359030e-01
1.360000e-11,4.013364e-01,-6.817546e-02,2.972407e-01,4.559301e-01,4.436120e-01
1.380000e-11,4.081613e-01,-6.937692e-02,3.021220e-01,4.638351e-01,4.513579e-01
1.400000e-11,4.150250e-01,-7.058606e-02,3.070351e-01,4.717693e-01,4.591388e-01
1.420000e-11,4.219201e-01,-7.179912e-02,3.119724e-01,4.797279e-01,4.669527e-01
1.440000e-11,4.288393e-01,-7.301260e-02,3.169262e-01,4.877069e-01,4.747975e-01
1.460000e-11,4.357760e-01,-7.422355e-02,3.218896e-01,4.957036e-01,4.826712e-01
1.480000e-11,4.427243e-01,-7.542986e-02,3.268562e-01,5.037161e-01,4.905720e-01
1.500000e-11,4.496792e-01,-7.663037e-02,3.318209e-01,5.117438e-01,4.984986e-01
1.520000e-11,4.566365e-01,-7.782490e-02,3.367797e-01,5.197869e-01,5.064499e-01
1.540000e-11,4.635935e-01,-7.901419e-02,3.417299e-01,5.278468e-01,5.144255e-01
1.560000e-11,4.705486e-01,-8.019973e-02,3.466702e-01,5.359254e-01,5.224253e-01
1.580000e-11,4.775012e-01,-8.138352e-02,3.516004e-01,5.440255e-01,5.304499e-01
1.600000e-11,4.844525e-01,-8.256784e-02,3.565215e-01,5.521502e-01,5.385002e-01
1.620000e-11,4.914043e-01,-8.375497e-02,3.614354e-01,5.603029e-01,5.465779e-01
1.640000e-11,4.983600e-01,-8.494698e-02,3.663449e-01,5.684873e-01,5.546845e-01
1.660000e-11,5.053237e-01,-8.614554e-02,3.712533e-01,5.767071e-01,5.628224e-01
1.680000e-11,5.123000e-01,-8.735182e-02,3.761642e-01,5.849659e-01,5.709938e-01
1.700000e-11,5.192943e-01,-8.856648e-02,3.810815e-01,5.932671e-01,5.792012e-01
1.720000e-11,5.263119e-01,-8.978963e-02,3.860090e-01,6.016140e-01,5.874471e-01
1.740000e-11,5.333579e-01,-9.102100e-02,3.909503e-01,6.100094e-01,5.957340e-01
1.760000e-11,5.404373e-01,-9.226001e-02,3.959086e-01,6.184559e-01,6.040644e-01
1.780000e-11,5.475542e-01,-9.350591e-02,4.008868e-01,6.269556e-01,6.124403e-01
1.800000e-11,5.547121e-01,-9.475796e-02,4.058871e-01,6.355104e-01,6.208640e-01
1.820000e-11,5.619134e-01,-9.601549e-02,4.109113e-01,6.441217e-01,6.293374e-01
1.840000e-11,5.691599e-01,-9.727807e-02,4.159606e-01,6.527908e-01,6.378620e-01
1.860000e-11,5.764521e-01,-9.854547e-02,4.210357e-01,6.615185e-01,6.464394e-01
1.880000e-11,5.837901e-01,-9.981773e-02,4.261367e-01,6.703055e-01,6.550709e-01
1.900000e-11,5.911732e-01,-1.010951e-01,4.312634e-01,6.791525e-01,6.637577e-01
1.920000e-11,5.986002e-01,-1.023780e-01,4.364152e-01,6.880600e-01,6.725008e-01
1.940000e-11,6.060698e-01,-1.036670e-01,4.415914e-01,6.970286e-01,6.813012e-01
1.960000e-11,6.135804e-01,-1.049626e-01,4.467909e-01,7.060587e-01,6.901599e-01
1.980000e-11,6.211307e-01,-1.062653e-01,4.520128e-01,7.151511e-01,6.990779e-01
2.000000e-11,6.287195e-01,-1.075754e-01,4.572560e-01,7.243067e-01,7.080562e-01
2.020000e-11,6.363175e-01,-1.088927e-01,4.624619e-01,7.334962e-01,7.170672e-01
2.040000e-11,6.438505e-01,-1.102145e-01,4.675149e-01,7.426418e-01,7.260368e-01
2.060000e-11,6.512019e-01,-1.115349e-01,4.722749e-01,7.516183e-01,7.348470e-01
2.080000e-11,6.582267e-01,-1.128433e-01,4.766079e-01,7.602674e-01,7.433494e-01
2.100000e-11,6.647697e-01,-1.141249e-01,4.804051e-01,7.684157e-01,7.513841e-01
2.120000e-11,6.706831e-01,-1.153599e-01,4.835898e-01,7.758938e-01,7.587980e-01
2.140000e-11,6.758406e-01,-1.165250e-01,4.861203e-01,7.825507e-01,7.654587e-01
2.160000e-11,6.801472e-01,-1.175937e-01,4.879868e-01,7.882647e-01,7.712650e-01
2.180000e-11,6.835445e-01,-1.185384e-01,4.892085e-01,7.929511e-01,7.761528e-01
2.200000e-11,6.860127e-01,-1.193326e-01,4.898278e-01,7.965652e-01,7.800965e-01
2.220000e-11,6.875688e-01,-1.199532e-01,4.899054e-01,7.991027e-01,7.831083e-01
2.240000e-11,6.882628e-01,-1.203832e-01,4.895140e-01,8.005979e-01,7.852340e-01
2.260000e-11,6.881723e-01,-1.206133e-01,4.887340e-01,8.011200e-01,7.865474e-01
2.280000e-11,6.873960e-01,-1.206442e-01,4.876480e-01,8.007675e-01,7.871444e-01
2.300000e-11,6.860470e-01,-1.204866e-01,4.863376e-01,7.996621e-01,7.871354e-01
2.320000e-11,6.842466e-01,-1.201614e-01,4.848799e-01,7.979423e-01,7.866389e-01
2.340000e-11,6.821186e-01,-1.196982e-01,4.833458e-01,7.957562e-01,7.857751e-01
2.360000e-11,6.797841e-01,-1.191331e-01,4.817986e-01,7.932550e-01,7.846601e-01
2.380000e-11,6.773579e-01,-1.185065e-01,4.802931e-01,7.905865e-01,7.834016e-01
2.400000e-11,6.749450e-01,-1.178596e-01,4.788754e-01,7.878895e-01,7.820951e-01
2.420000e-11,6.726388e-01,-1.172315e-01,4.775836e-01,7.852891e-01,7.808215e-01
2.440000e-11,6.705191e-01,-1.166565e-01,4.764476e-01,7.828925e-01,7.796460e-01
2.460000e-11,6.686517e-01,-1.161619e-01,4.754902e-01,7.807863e-01,7.786177e-01
